trees,site,site.code,Gra.gri.v,Ako.dol.v,Cal.mus.v,Mic.aus.v,Dol.pat.v,Lyc.gri.v,Cone.chi.v,Cha.vell.v,Tup.ruf.v,Cte.men.v,Bos.tau.v,Equ.cab.v,Gra.gri.c,Ako.dol.c,Cal.mus.c,Mic.aus.c,Dol.pat.c,Lyc.gri.c,Cone.chi.c,Cha.vell.c,Tup.ruf.c,Cte.men.c,Bos.tau.c,Equ.cab.c,fruit_avail_sp1,fruit_avail_sp2,fruit_avail_sp3,fruit_avail_sp4,Gra.gri,Ako.dol,Cal.mus,Mic.aus,Dol.pat,Lyc.gri,Cone.chi,Cha.vell,Tup.ruf,Cte.men,Bos.tau,Equ.cab
T42,grazed,domenico,10,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
T43,grazed,domenico,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,20,14,14,14,0,0,0,0,0,0,0,0,0,0,18,0
T44,grazed,domenico,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,0,20,3,3,3,0,0,0,0,0,0,0,0,0,0,153,0
T45,grazed,domenico,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,38,0
T46,grazed,domenico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T47,grazed,domenico,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,10,10,10,60,0,0,0,0,0,0,0,0,0,0,0
T48,grazed,domenico,3,0,0,16,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,20,17,0,0,9,0,0,272,0,0,0,0,0,0,0,0
T49,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T50,grazed,domenico,16,0,0,50,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
T51,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T52,grazed,domenico,1,0,0,57,0,0,0,0,0,0,7,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0
T53,grazed,domenico,2,0,0,41,0,1,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,20,5,0,0,0,0,0,615,0,5,0,0,0,0,0,0
T54,grazed,domenico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T55,grazed,domenico,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0
T56,grazed,domenico,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,20,4,0,0,0,0,0,0,288,8,0,0,0,0,0,0
T57,grazed,domenico,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,10,10,10,0,0,0,0,0,80,0,0,0,0,0,0
T58,grazed,domenico,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
T59,grazed,domenico,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,20,3,0,0,0,0,0,136,0,24,0,0,0,0,0,0
