trees,site,site.code,height,cr.fru,gr.fru,neigh,Pros.neigh,veg.cov.x,veg.cov.sd,bare.cov.x,bare.cov.sd,litt.cov.x,litt.cov.sd,veg.cov.x1,veg.cov.sd1,veg.cov.x2,veg.cov.sd2,veg.cov.x3,veg.cov.sd3,H.shannon,x,y,litt.site,bare.site,low.site,med.site,high.site,x.tran,y.tran,modules
T65,grazed,araya,300,5,0,13,0,1.28,0.24,0.00,0.00,1.00,0.00,0.08,0.12,0.68,0.36,0.48,0.32,0.39,593086,6234193,0.76,0.24,0.32,0.22,0.48,594150,6234208,A
T66,grazed,araya,500,16,0,8,3,1.04,0.40,0.00,0.00,1.00,0.00,0.16,0.20,0.68,0.12,0.24,0.20,0.38,591450,6234222,0.76,0.24,0.32,0.22,0.48,594150,6234208,A
T67,grazed,araya,500,3,0,7,1,1.20,0.12,0.00,0.00,1.00,0.00,0.68,0.28,0.36,0.12,0.16,0.12,0.40,590935,6234241,0.76,0.24,0.32,0.22,0.48,594150,6234208,NA
T68,grazed,araya,400,5,0,8,2,0.76,0.28,0.07,0.40,0.92,0.16,0.44,0.28,0.32,0.32,0.00,0.00,0.30,590417,6234246,0.68,0.32,0.43,0.14,0.36,588435,6234257,C
T69,grazed,araya,400,3,0,8,0,0.80,0.36,0.27,0.36,0.72,0.20,0.48,0.00,0.08,0.16,0.24,0.20,0.38,589447,6234227,0.68,0.32,0.43,0.14,0.36,588435,6234257,NA
T70,grazed,araya,400,5,0,7,2,1.20,0.40,0.00,0.00,1.00,0.00,0.36,0.20,0.64,0.12,0.24,0.16,0.44,588727,6234235,0.68,0.32,0.43,0.14,0.36,588435,6234257,NA
T71,grazed,araya,500,0,0,6,1,1.12,0.08,0.00,0.00,1.00,0.00,0.60,0.16,0.24,0.28,0.28,0.20,0.44,588177,6234249,0.62,0.38,0.23,0.07,0.75,588089,6234281,NA
T72,grazed,araya,500,0,0,7,1,0.76,0.32,0.90,0.32,0.10,0.00,0.04,0.08,0.64,0.36,0.08,0.12,0.27,587385,6234281,0.20,0.80,0.18,0.22,0.22,587857,6234276,C
T73,grazed,araya,500,0,0,6,3,0.80,0.24,0.07,0.40,0.92,0.16,0.16,0.16,0.24,0.12,0.36,0.20,0.46,586409,6234284,0.20,0.80,0.18,0.22,0.22,587857,6234276,A
T74,grazed,araya,500,15,0,9,1,1.16,0.12,0.47,0.28,0.52,0.16,0.08,0.20,0.64,0.16,0.36,0.16,0.39,585764,6234287,0.20,0.80,0.18,0.22,0.22,587857,6234276,C
T75,grazed,araya,500,188,0,6,3,1.04,0.56,0.20,0.40,0.80,0.40,0.08,0.20,0.56,0.24,0.76,0.48,0.39,584933,6234307,0.20,0.80,0.18,0.22,0.22,587857,6234276,C
T76,grazed,araya,400,90,0,12,8,0.92,0.36,0.25,0.36,0.75,0.32,0.36,0.04,0.36,0.20,0.20,0.32,0.46,594283,6232260,0.60,0.40,0.13,0.15,0.70,594287,6232277,C
T77,grazed,araya,400,100,0,9,1,0.64,0.28,0.27,0.36,0.47,0.44,0.32,0.24,0.28,0.48,0.02,0.04,0.36,593842,6232236,0.66,0.34,0.12,0.13,0.63,593867,6232264,E
T78,grazed,araya,450,18,0,9,1,0.96,0.28,0.17,0.32,0.82,0.16,0.44,0.28,0.16,0.24,0.36,0.28,0.44,593222,6232236,0.47,0.53,0.12,0.12,0.53,593265,6232235,E
T79,grazed,araya,450,32,0,7,1,0.88,0.20,0.27,0.36,0.72,0.28,0.40,0.36,0.16,0.12,0.24,0.24,0.45,592750,6232268,0.47,0.53,0.12,0.12,0.53,593265,6232235,E
T80,grazed,araya,450,174,100,13,0,0.16,0.12,1.00,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.08,0.12,0.30,592230,6232254,0.47,0.53,0.12,0.12,0.53,593265,6232235,F
T81,grazed,araya,450,69,4,8,2,0.84,0.12,0.05,0.36,0.95,0.08,0.56,0.04,0.08,0.08,0.16,0.12,0.37,591656,6232254,0.59,0.41,0.21,0.12,0.62,593774,6232254,A
T82,grazed,araya,450,60,0,9,0,0.64,0.52,0.75,0.36,0.25,0.32,0.08,0.04,0.36,0.40,0.20,0.24,0.40,591121,6232250,0.59,0.41,0.21,0.12,0.62,593774,6232254,A
T83,grazed,araya,450,110,0,7,0,0.68,0.20,0.72,0.32,0.27,0.20,0.12,0.16,0.08,0.12,0.44,0.20,0.38,590707,6232251,0.59,0.41,0.21,0.12,0.62,593774,6232254,F
T84,grazed,araya,450,0,0,8,6,1.20,0.20,0.00,0.00,1.00,0.00,0.56,0.36,0.16,0.20,0.48,0.28,0.43,589588,6232250,0.59,0.41,0.21,0.12,0.62,593774,6232254,B
T85,grazed,araya,400,10,0,5,0,1.12,0.60,0.07,0.36,0.92,0.16,0.64,0.44,0.40,0.24,0.08,0.12,0.39,588796,6232243,0.59,0.41,0.21,0.12,0.62,593774,6232254,B
T86,grazed,araya,400,30,0,11,0,0.96,0.32,0.00,0.00,1.00,0.00,0.24,0.24,0.56,0.52,0.20,0.12,0.43,588370,6232249,0.59,0.41,0.21,0.12,0.62,593774,6232254,A
T87,grazed,araya,550,33,0,7,1,0.96,0.24,0.00,0.00,1.00,0.00,0.20,0.40,0.68,0.48,0.04,0.04,0.31,587963,6232232,0.59,0.41,0.21,0.12,0.62,593774,6232254,A
T88,grazed,araya,550,28,0,7,0,1.00,0.12,0.25,0.36,0.75,0.28,0.24,0.16,0.28,0.32,0.48,0.08,0.46,587211,6232241,0.59,0.41,0.21,0.12,0.62,593774,6232254,B
T89,grazed,araya,550,115,0,6,1,1.04,0.12,0.07,0.36,0.92,0.16,0.28,0.36,0.36,0.24,0.40,0.32,0.47,586431,6232231,0.59,0.41,0.21,0.12,0.62,593774,6232254,F
T90,grazed,araya,450,0,0,8,5,0.84,0.28,0.55,0.36,0.45,0.40,0.02,0.04,0.12,0.24,0.68,0.36,0.24,586113,6232330,0.59,0.41,0.21,0.12,0.62,593774,6232254,A
T91,grazed,bonito,500,0,0,11,6,0.68,0.44,0.15,0.36,0.85,0.20,0.56,0.32,0.08,0.08,0.02,0.04,0.22,598649,6222143,0.61,0.39,0.15,0.08,0.83,598623,6222128,D
T92,grazed,bonito,500,2,0,15,1,0.92,0.28,0.07,0.36,0.92,0.08,0.72,0.24,0.12,0.04,0.08,0.08,0.29,598763,6221888,0.61,0.39,0.15,0.08,0.83,598623,6222128,B
T93,grazed,bonito,500,17,0,8,7,1.28,0.76,0.12,0.36,0.87,0.20,0.48,0.12,0.28,0.24,0.56,0.64,0.46,598942,6221604,0.68,0.32,0.38,0.19,0.59,598862,6221754,A
T94,grazed,bonito,500,10,0,11,3,1.04,0.20,0.10,0.36,0.90,0.12,0.60,0.40,0.28,0.28,0.08,0.08,0.39,599117,6221234,0.56,0.44,0.36,0.18,0.60,599022,6221349,B
T95,grazed,bonito,500,25,0,7,2,1.24,0.44,0.12,0.36,0.87,0.16,0.68,0.16,0.48,0.36,0.12,0.08,0.40,599240,6220883,0.81,0.19,0.38,0.10,0.85,599270,6220801,D
T96,grazed,bonito,650,623,36,2,1,1.16,0.32,0.15,0.36,0.85,0.24,0.48,0.48,0.08,0.16,0.56,0.12,0.38,599394,6220608,0.81,0.19,0.38,0.10,0.85,599270,6220801,A
T97,grazed,bonito,400,197,0,10,1,0.84,0.20,0.00,0.00,1.00,0.00,0.52,0.20,0.16,0.16,0.04,0.04,0.35,599620,6220499,0.46,0.54,0.23,0.16,0.27,599620,6220494,D
T98,grazed,bonito,450,354,0,8,3,0.96,0.12,0.00,0.00,1.00,0.00,0.36,0.12,0.24,0.20,0.40,0.24,0.46,599958,6220502,0.46,0.54,0.23,0.16,0.27,599620,6220494,B
T99,grazed,bonito,500,704,68,6,3,0.44,0.20,0.00,0.00,1.00,0.00,0.24,0.08,0.08,0.08,0.12,0.12,0.43,600272,6220497,0.46,0.54,0.23,0.16,0.27,599620,6220494,B
T100,grazed,bonito,450,5,0,6,3,1.04,0.12,0.12,0.36,0.87,0.12,0.60,0.40,0.36,0.28,0.08,0.20,0.43,600688,6220507,0.46,0.54,0.23,0.16,0.27,599620,6220494,A
T101,grazed,bonito,450,252,0,7,3,0.76,0.16,0.17,0.36,0.82,0.20,0.28,0.16,0.32,0.24,0.16,0.20,0.46,600951,6220584,0.59,0.41,0.30,0.17,0.44,600909,6220312,A
T102,grazed,bonito,450,0,0,10,3,1.20,0.64,0.17,0.36,0.82,0.20,0.24,0.32,0.48,0.36,0.48,0.44,0.45,601061,6220939,0.59,0.41,0.30,0.17,0.44,600909,6220312,C
T103,grazed,bonito,450,20,0,7,0,0.88,0.28,0.00,0.00,1.00,0.00,0.16,0.16,0.36,0.20,0.36,0.12,0.46,601254,6221519,0.59,0.41,0.30,0.17,0.44,600909,6220312,B
T104,grazed,bonito,450,13,0,9,3,0.92,0.24,0.07,0.36,0.92,0.08,0.36,0.24,0.56,0.44,0.02,0.04,0.34,601074,6221756,0.59,0.41,0.30,0.17,0.44,600909,6220312,NA
T105,grazed,bonito,400,31,0,7,2,1.24,0.20,0.00,0.00,1.00,0.00,0.40,0.40,0.48,0.08,0.36,0.24,0.47,601509,6221694,0.59,0.41,0.30,0.17,0.44,600909,6220312,A
T106,grazed,bonito,400,9,0,5,2,0.28,0.16,0.12,0.36,0.87,0.16,0.16,0.16,0.02,0.04,0.08,0.08,0.38,600928,6220306,0.29,0.71,0.39,0.05,0.38,600912,6219982,C
T107,grazed,bonito,550,13,0,8,1,1.20,0.40,0.30,0.44,0.95,0.08,0.12,0.08,0.20,0.28,0.88,0.20,0.33,600930,6219977,0.29,0.71,0.39,0.05,0.38,600912,6219982,C
T108,grazed,bonito,550,5,0,6,0,1.16,0.16,0.00,0.00,1.00,0.00,0.24,0.20,0.44,0.32,0.48,0.36,0.46,600933,6219682,0.73,0.27,0.32,0.08,0.38,600925,6219665,A
T109,grazed,bonito,550,29,0,6,0,0.96,0.52,0.00,0.00,1.00,0.00,0.36,0.20,0.24,0.24,0.28,0.20,0.30,600934,6219390,0.73,0.27,0.32,0.08,0.38,600925,6219665,B
T110,grazed,bonito,600,112,6,6,1,0.88,0.40,0.00,0.00,1.00,0.00,0.40,0.20,0.12,0.24,0.36,0.20,0.47,600937,6219138,0.73,0.27,0.32,0.08,0.38,600925,6219665,B
T111,grazed,bonito,600,490,5,8,0,0.88,0.16,0.00,0.00,1.00,0.00,0.40,0.36,0.32,0.28,0.28,0.20,0.43,600942,6218852,0.51,0.49,0.34,0.07,0.17,600928,6219375,E
